",""Team"",""Country"",""Score"",""Year"", ""Points"""
"44,""Celta Vigo"",""ESP"",7,""2003-2004"",9"
"45,""Deportivo La Coruna"",""ESP"",12,""2003-2004"",10"
"46,""Real Madrid CF"",""ESP"",11,""2003-2004"",14"
"47,""Real Sociedad"",""ESP"",8,""2003-2004"",9"
"48,""Bayern München"",""GER"",6,""2003-2004"",9"
"49,""VfB Stuttgart"",""GER"",9,""2003-2004"",12"
"50,""Deportivo La Coruna"",""ESP"",0,""2004-2005"",2"
"51,""FC Barcelona"",""ESP"",9,""2004-2005"",10"
"52,""Real Madrid CF"",""ESP"",11,""2004-2005"",11"
"53,""Valencia CF"",""ESP"",6,""2004-2005"",7"
"54,""Bayer 04 Leverkusen"",""GER"",13,""2004-2005"",11"
"55,""Bayern M�nchen"",""GER"",12,""2004-2005"",10"
"56,""Werder Bremen"",""GER"",12,""2004-2005"",13"
"57,""FC Barcelona"",""ESP"",16,""2005-2006"",16"
"58,""Real Betis"",""ESP"",3,""2005-2006"",7"
"59,""Real Madrid CF"",""ESP"",10,""2005-2006"",10"
"60,""Villarreal CF"",""ESP"",3,""2005-2006"",10"
"61,""Bayern München"",""GER"",10,""2005-2006"",13"
"62,""FC Schalke 04"",""GER"",12,""2005-2006"",8"
"63,""Werder Bremen"",""GER"",12,""2005-2006"",7"
"64,""FC Barcelona"",""ESP"",12,""2006-2007"",11"
"65,""Real Madrid CF"",""ESP"",14,""2006-2007"",11"
"66,""Valencia CF"",""ESP"",12,""2006-2007"",13"
"67,""Bayern München"",""GER"",10,""2006-2007"",12"
"68,""Hamburger SV"",""GER"",7,""2006-2007"",3"
"69,""Werder Bremen"",""GER"",7,""2006-2007"",10"
"70,""FC Barcelona"",""ESP"",12,""2007-2008"",14"
"71,""Real Madrid CF"",""ESP"",13,""2007-2008"",11"
"72,""Sevilla FC"",""ESP"",14,""2007-2008"",15"
"73,""Valencia CF"",""ESP"",2,""2007-2008"",5"
"74,""FC Schalke 04"",""GER"",5,""2007-2008"",8"
"75,""VfB Stuttgart"",""GER"",7,""2007-2008"",3"
"76,""Werder Bremen"",""GER"",8,""2007-2008"",6"
"77,""Atletico Madrid"",""ESP"",9,""2008-2009"",12"
"78,""FC Barcelona"",""ESP"",18,""2008-2009"",13"
"79,""Real Madrid CF"",""ESP"",9,""2008-2009"",12"
"80,""Villarreal CF"",""ESP"",9,""2008-2009"",9"
"81,""Bayern München"",""GER"",12,""2008-2009"",14"
"82,""Werder Bremen"",""GER"",7,""2008-2009"",7"
"83,""Atletico Madrid"",""ESP"",3,""2009-2010"",3"
"84,""FC Barcelona"",""ESP"",7,""2009-2010"",11"
"85,""Real Madrid CF"",""ESP"",15,""2009-2010"",13"
"86,""Sevilla FC"",""ESP"",11,""2009-2010"",13"
"87,""Bayern München"",""GER"",9,""2009-2010"",10"
"88,""VfB Stuttgart"",""GER"",9,""2009-2010"",9"
"89,""VfL Wolfsburg"",""GER"",9,""2009-2010"",7"
"90,""FC Barcelona"",""ESP"",14,""2010-2011"",14"
"91,""Real Madrid CF"",""ESP"",15,""2010-2011"",16"
"92,""Valencia CF"",""ESP"",15,""2010-2011"",11"
"93,""Bayern München"",""GER"",16,""2010-2011"",15"
"94,""FC Schalke 04"",""GER"",10,""2010-2011"",13"
"95,""Werder Bremen"",""GER"",6,""2010-2011"",5"
"96,""FC Barcelona"",""ESP"",11,""2012-2013"",13"
"97,""Malaga CF"",""ESP"",12,""2012-2013"",12"
"98,""Real Madrid CF"",""ESP"",15,""2012-2013"",11"
"99,""Valencia CF"",""ESP"",12,""2012-2013"",13"
"100,""Bayern M�nchen"",""GER"",15,""2012-2013"",13"
"101,""Borussia Dortmund"",""GER"",11,""2012-2013"",14"
"102,""FC Schalke 04"",""GER"",10,""2012-2013"",12"
"103,""Atletico Madrid"",""ESP"",15,""2013-2014"",16"
"1004,""FC Barcelona"",""ESP"",16,""2013-2014"",13"
"105,""Real Madrid CF"",""ESP"",20,""2013-2014"",16"
"106,""Real Sociedad"",""ESP"",1,""2013-2014"",1"
"107,""Bayer 04 Leverkusen"",""GER"",9,""2013-2014"",10"
"108,""Bayern München"",""GER"",17,""2013-2014"",15"
"109,""Borussia Dortmund"",""GER"",11,""2013-2014"",12"
"110,""FC Schalke 04"",""GER"",6,""2013-2014"",10"
"111,""Athletic Bilbao"",""ESP"",5,""2014-2015"",7"
"112,""Atletico Madrid"",""ESP"",14,""2014-2015"",13"
"113,""FC Barcelona"",""ESP"",15,""2014-2015"",15"
"114,""Real Madrid CF"",""ESP"",16,""2014-2015"",18"
"115,""Bayer 04 Leverkusen"",""GER"",7,""2014-2015"",10"
"116,""Bayern München"",""GER"",16,""2014-2015"",15"
"117,""Borussia Dortmund"",""GER"",14,""2014-2015"",13"
"118,""FC Schalke 04"",""GER"",9,""2014-2015"",8"
"119,""Atletico Madrid"",""ESP"",11,""2015-2016"",13"
"120,""FC Barcelona"",""ESP"",15,""2015-2016"",14"
"121,""Real Madrid CF"",""ESP"",19,""2015-2016"",16"
"122,""Sevilla FC"",""ESP"",8,""2015-2016"",6"
"123,""Valencia CF"",""ESP"",5,""2015-2016"",6"
"124,""Bayer 04 Leverkusen"",""GER"",13,""2015-2016"",6"
"125,""Bayern München"",""GER"",19,""2015-2016"",15"
"126,""Borussia Monchengladbach"",""GER"",8,""2015-2016"",5"
"127,""VfL Wolfsburg"",""GER"",9,""2015-2016"",12"
